"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2067","checkSamsungGalaxyS6TitleColorTest","Surefire suite","Mon May 05 18:36:54 EEST 2025","broken","Mon May 05 18:36:56 EEST 2025","selenium_tests.ColorTest","Surefire test","selenium_tests.ColorTest","checkSamsungGalaxyS6TitleColorTest"
"","1988","createAccountTest","Surefire suite","Thu Apr 10 18:45:13 EEST 2025","passed","Thu Apr 10 18:45:15 EEST 2025","CreateAccountTest","Surefire test","CreateAccountTest","createAccountTest"
"","5422","checkAddToCartButtonColorTest","Surefire suite","Thu Apr 10 18:44:45 EEST 2025","passed","Thu Apr 10 18:44:51 EEST 2025","ColorTest","Surefire test","ColorTest","checkAddToCartButtonColorTest"
"","6296","checkAddToCartButtonTextColorTest","Surefire suite","Thu Apr 10 18:44:53 EEST 2025","passed","Thu Apr 10 18:45:00 EEST 2025","ColorTest","Surefire test","ColorTest","checkAddToCartButtonTextColorTest"
"","2177","loginTest","Surefire suite","Mon May 05 18:36:58 EEST 2025","passed","Mon May 05 18:37:01 EEST 2025","selenium_tests.LoginTest","Surefire test","selenium_tests.LoginTest","loginTest"
"","2024","loginTest","Surefire suite","Thu Apr 10 18:45:07 EEST 2025","passed","Thu Apr 10 18:45:09 EEST 2025","LoginTest","Surefire test","LoginTest","loginTest"
"","5458","checkAddToCartButtonColorTest","Surefire suite","Mon May 05 18:36:36 EEST 2025","passed","Mon May 05 18:36:42 EEST 2025","selenium_tests.ColorTest","Surefire test","selenium_tests.ColorTest","checkAddToCartButtonColorTest"
"","24042","endToEndTest","Surefire suite","Mon May 05 18:37:08 EEST 2025","passed","Mon May 05 18:37:32 EEST 2025","selenium_tests.E2ETest","Surefire test","selenium_tests.E2ETest","endToEndTest"
"","24551","endToEndTest","Surefire suite","Thu Apr 10 18:45:18 EEST 2025","passed","Thu Apr 10 18:45:42 EEST 2025","E2ETest","Surefire test","E2ETest","endToEndTest"
"","1431","createAccountTest","Surefire suite","Mon May 05 18:37:04 EEST 2025","passed","Mon May 05 18:37:05 EEST 2025","selenium_tests.CreateAccountTest","Surefire test","selenium_tests.CreateAccountTest","createAccountTest"
"","6423","checkAddToCartButtonTextColorTest","Surefire suite","Mon May 05 18:36:45 EEST 2025","passed","Mon May 05 18:36:51 EEST 2025","selenium_tests.ColorTest","Surefire test","selenium_tests.ColorTest","checkAddToCartButtonTextColorTest"
"","2069","checkSamsungGalaxyS6TitleColorTest","Surefire suite","Thu Apr 10 18:45:03 EEST 2025","broken","Thu Apr 10 18:45:05 EEST 2025","ColorTest","Surefire test","ColorTest","checkSamsungGalaxyS6TitleColorTest"
